date,count,amount
2001-05-29 00:00:00,534,82484.20000000024
2001-05-30 00:00:00,604,608993.2799999999
2001-05-31 00:00:00,5420,273135.39999999973
2001-06-01 00:00:00,3122,562315.48
2001-06-02 00:00:00,40,9071.619999999999
2001-06-03 00:00:00,5,1386.5
2001-06-04 00:00:00,464,397859.62
2001-06-05 00:00:00,1112,425139.4700000001
2001-06-06 00:00:00,996,736874.1399999995
2001-06-07 00:00:00,477,371712.01999999996
2001-06-08 00:00:00,3207,850800.2800000017
2001-06-09 00:00:00,17,1255.0
2001-06-10 00:00:00,233,112417.33
2001-06-11 00:00:00,1886,513442.5999999991
2001-06-12 00:00:00,483,990928.0799999997
2001-06-13 00:00:00,688,1142276.25
2001-06-14 00:00:00,557,1117557.9400000004
2001-06-15 00:00:00,3651,393946.95000000007
2001-06-16 00:00:00,72,130682.0
2001-06-17 00:00:00,29,2736.0
2001-06-18 00:00:00,618,406470.32000000007
2001-06-19 00:00:00,1267,992106.53
2001-06-20 00:00:00,1606,1036992.47
2001-06-21 00:00:00,1053,451070.0899999999
2001-06-22 00:00:00,2566,574136.9399999997
2001-06-23 00:00:00,1969,43758.14000000036
2001-06-24 00:00:00,96,12858.94
2001-06-25 00:00:00,1465,1008843.4599999995
2001-06-26 00:00:00,1607,1691781.8199999998
2001-06-27 00:00:00,1075,344210.85
2001-06-28 00:00:00,1309,1031522.02
2001-06-29 00:00:00,4163,1482341.0
2001-06-30 00:00:00,5573,1780801.1800000002
2001-07-01 00:00:00,579,76039.79000000001
2001-07-02 00:00:00,826,255196.68000000002
2001-07-03 00:00:00,1150,499529.1200000001
2001-07-04 00:00:00,29,3641.5
2001-07-05 00:00:00,1657,172529.27
2001-07-06 00:00:00,3478,567521.9000000006
2001-07-07 00:00:00,313,10266.99
2001-07-08 00:00:00,36,5754.93
2001-07-09 00:00:00,656,65772.90000000023
2001-07-10 00:00:00,389,246916.42
2001-07-11 00:00:00,647,47741.36
2001-07-12 00:00:00,1588,166278.29000000007
2001-07-13 00:00:00,1444,118697.46000000006
2001-07-14 00:00:00,99,9161.73
2001-07-15 00:00:00,1235,86133.5
2001-07-16 00:00:00,1557,122845.57000000005
2001-07-17 00:00:00,299,109729.7
2001-07-18 00:00:00,444,72507.36
2001-07-19 00:00:00,1189,357371.41999999987
2001-07-20 00:00:00,2000,121364.18999999993
2001-07-21 00:00:00,178,12397.4
2001-07-22 00:00:00,213,12054.57
2001-07-23 00:00:00,566,211788.25999999946
2001-07-24 00:00:00,696,168618.74
2001-07-25 00:00:00,2946,189900.75999999957
2001-07-26 00:00:00,420,112069.65
2001-07-27 00:00:00,1455,196193.96000000002
2001-07-28 00:00:00,95,12015.73
2001-07-29 00:00:00,18,4256.33
2001-07-30 00:00:00,812,200847.19999999998
2001-07-31 00:00:00,4540,241116.3299999998
2001-08-01 00:00:00,1649,207314.71000000002
2001-08-02 00:00:00,978,355310.8899999999
2001-08-03 00:00:00,1470,114618.51999999996
2001-08-04 00:00:00,138,6749.24
2001-08-05 00:00:00,464,19617.43
2001-08-06 00:00:00,819,308991.8299999999
2001-08-07 00:00:00,504,136587.63
2001-08-08 00:00:00,494,384841.5
2001-08-09 00:00:00,2681,118269.27999999934
2001-08-10 00:00:00,1376,301416.41000000003
2001-08-11 00:00:00,89,5208.73
2001-08-12 00:00:00,24,2961.0
2001-08-13 00:00:00,665,133573.49
2001-08-14 00:00:00,1492,847990.3700000002
2001-08-15 00:00:00,2578,234750.60999999984
2001-08-16 00:00:00,1112,3254032.2100000004
2001-08-17 00:00:00,1363,175233.65000000002
2001-08-18 00:00:00,159,85098.23999999999
2001-08-19 00:00:00,42,5814.0599999999995
2001-08-20 00:00:00,1773,242271.12999999916
2001-08-21 00:00:00,588,805822.280000002
2001-08-22 00:00:00,737,145833.63
2001-08-23 00:00:00,1240,311916.68000000005
2001-08-24 00:00:00,1134,247656.50000000003
2001-08-25 00:00:00,2553,46381.79000000056
2001-08-26 00:00:00,143,7453.0
2001-08-27 00:00:00,1041,391098.80000000005
2001-08-28 00:00:00,859,837521.7699999999
2001-08-29 00:00:00,498,178286.99
2001-08-30 00:00:00,1026,289057.13999999996
2001-08-31 00:00:00,6533,518871.12999999954
2001-09-01 00:00:00,884,102650.76
2001-09-02 00:00:00,101,28521.64
2001-09-03 00:00:00,177,14938.32
2001-09-04 00:00:00,1004,224274.6599999994
2001-09-05 00:00:00,1368,363532.56000000006
2001-09-06 00:00:00,1800,407365.6299999998
2001-09-07 00:00:00,1882,660361.0099999998
2001-09-08 00:00:00,1471,34019.779999999824
2001-09-09 00:00:00,191,249178.45
2001-09-10 00:00:00,1136,227903.63999999998
2001-09-11 00:00:00,490,197147.12
2001-09-12 00:00:00,1079,351750.62
2001-09-13 00:00:00,1551,280383.94999999995
2001-09-14 00:00:00,1961,783872.8300000003
